_grr,address_raw,city,state,zipcode,unit,property_type,bedrooms,bathrooms,sqft,rent,price_per_sqft,listing_url,K_Q_Overall,B_Q_Overall,Flooring_Q,Paint_Q,Lighting_Q,Window_Q,Appliance_Q,Quality_Score_100,K_Size_1_3,B_Size_1_3,B_Layout,Unit_Size_1_3_Auto,Size_Score_100,C_Balcony_Deck,C_Heating,C_AC,C_Washer_Dryer,C_Parking,C_Dishwasher,C_Microwave,C_Disposal,C_Hardwood,C_Updated_Kitchen,C_Updated_Bath,C_Outdoor_Space,Completeness_Score_100,WalkScore,TransitScore,BikeScore,Location_Score_100,Market_Score,Market_Grade,Luxury_Gap,Rent_per_Score,Opportunity_Flag,Notes,description_text
4,1638 47th Ave,Oakland,CA,94601,,,2,1,500,2042,,https://www.redfin.com/CA/Oakland/1638-47th-Ave-94601/home/172820392,2,2,2,3,2,2,3,76.2,3,2,2,2,75.0,No,Yes,Yes,No,Yes,No,No,,No,Yes,Yes,,50.0,,,,,,,,,,,
4,3142 Fruitvale Ave,Oakland,CA,94602,,,2,1,"1,100",2533,,https://www.redfin.com/CA/Oakland/3142-Fruitvale-Ave-94602/apartment/178711390,3,2,3,3,3,2,3,90.5,2,2,2,3,75.0,No,Yes,,Yes,Yes,Yes,Yes,,No,Yes,Yes,,77.8,,,,,,,,,,,
4,7911 Bancroft Ave,Oakland,CA,94605,,,2,1,900,2500,,https://www.redfin.com/CA/Oakland/7911-Bancroft-Ave-94605/apartment/1404939,2,2,2,2,2,2,3,71.4,2,2,2,2,66.7,Yes,Yes,No,No,,No,No,,No,Yes,Yes,Yes,50.0,,,,,,,,,,,
4,2369 E 21st St,Oakland,CA,94601,,,2,1,840,2500,,https://www.redfin.com/CA/Oakland/2369-E-21st-St-94601/home/2017259,2,3,2,2,2,2,2,71.4,1,2,2,,55.6,Yes,Yes,,No,Yes,No,Yes,,Yes,Yes,Yes,Yes,80.0,,,,,,,,,,,
4,2678 79th Ave Unit B,Oakland,CA,94605,,,2,1,"1,000",2500,,https://www.redfin.com/CA/Oakland/2678-79th-Ave-94605/unit-B/apartment/193252030,2,2,2,3,2,2,2,71.4,2,2,2,2,66.7,No,Yes,,No,No,No,No,,No,Yes,Yes,,33.3,,,,,,,,,,,
4,2416 8th Ave Apt 204,Oakland,CA,94606,,,2,1,975,2500,,https://www.redfin.com/CA/Oakland/2416-8th-Ave-94606/unit-204/home/200224527,1,1,2,1,2,2,2,52.4,1,2,1,2,50.0,No,Yes,No,,,No,No,,Yes,No,No,,25.0,,,,,,,,,,,
4,9317 Walnut St,Oakland,CA,94603,,,2,1,950,2500,,https://www.redfin.com/CA/Oakland/9317-Walnut-St-94603/apartment/201475781,2,2,1,1,1,2,2,52.4,2,2,2,2,66.7,No,Yes,,No,Yes,No,No,,No,No,No,Yes,30.0,,,,,,,,,,,
4,1914 6th Ave Unit 2,Oakland,CA,94606,,,2,1,"1,500",2500,,https://www.redfin.com/CA/Oakland/1914-6th-Ave-94606/unit-2/apartment/201542503,1,1,2,2,2,2,2,57.1,2,1,1,2,50.0,No,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,,70.0,,,,,,,,,,,
4,2824 23rd Ave,Oakland,CA,94606,,,2,1,800,2499,,https://www.redfin.com/CA/Oakland/2824-23rd-Ave-94606/apartment/201278711,2,2,3,2,2,2,2,71.4,2,2,2,3,75.0,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,,90.0,,,,,,,,,,,
4,3080 Richmond Blvd,Oakland,CA,94611,,,2,1,867,2395,,https://www.redfin.com/CA/Oakland/3080-Richmond-Blvd-94611/apartment/1253554,2,3,2,2,3,2,2,76.2,2,2,2,2,66.7,Yes,Yes,,No,Yes,Yes,Yes,,Yes,Yes,Yes,,88.9,,,,,,,,,,,
4,322 Monte Vista Ave Unit 104-,Oakland,CA,94611,,,2,1,"1,000",2495,,https://www.redfin.com/CA/Oakland/322-Monte-Vista-Ave-94611/unit-104/apartment/191472678,1,1,2,1,2,1,2,47.6,2,2,2,3,75.0,Yes,Yes,,No,,Yes,No,,Yes,No,Yes,,62.5,,,,,,,,,,,
4,6620 Herzog St Unit 1,Oakland,CA,94608,,,2,1,—,2495,,https://www.redfin.com/CA/Oakland/6620-Herzog-St-94608/unit-1/apartment/191748707,2,2,3,1,2,1,3,66.7,2,2,2,,66.7,No,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,Yes,,70.0,,,,,,,,,,,
4,3248 Prentiss St Apt 2,Oakland,CA,94601,,,2,1,800,2495,,https://www.redfin.com/CA/Oakland/3248-Prentiss-St-94601/unit-2/home/200376101,2,2,2,2,1,1,3,61.9,2,2,2,2,66.7,Yes,Yes,No,No,No,No,No,,Yes,Yes,Yes,Yes,54.5,,,,,,,,,,,
4,2401 Bartlett St Unit D,Oakland,CA,94601,,,2,1,—,2495,,https://www.redfin.com/CA/Oakland/2401-Bartlett-St-94601/unit-D/apartment/201116846,2,2,3,2,2,2,,72.2,2,2,2,,66.7,,Yes,No,No,,No,No,,No,Yes,Yes,Yes,44.4,,,,,,,,,,,
4,201 Athol Ave Apt 303,Oakland,CA,94606,,,2,1,—,2495,,https://www.redfin.com/CA/Oakland/201-Athol-Ave-94606/unit-303/home/201400124,1,1,2,2,2,1,1,47.6,2,2,2,2,66.7,Yes,Yes,No,No,,Yes,No,,Yes,No,No,No,40.0,,,,,,,,,,,
4,6618 Laird Ave,`,CA,94605,,,2,1,"1,000",2453,,https://www.redfin.com/CA/Oakland/6618-Laird-Ave-94605/home/1543692,1,2,2,1,2,1,2,52.4,3,2,2,3,83.3,Yes,Yes,No,,No,No,Yes,,Yes,No,No,,44.4,,,,,,,,,,,
4,1446 1st Ave Unit 1450,Oakland,CA,94606,,,2,1,850,2450,,https://www.redfin.com/CA/Oakland/1446-1st-Ave-94606/unit-1450/home/200913685,1,2,2,2,2,1,2,57.1,1,3,2,2,66.7,Yes,Yes,No,Yes,,No,Yes,,Yes,Yes,Yes,,77.8,,,,,,,,,,,
4,641 Oakland Ave Apt E,Oakland,CA,94611,,,2,1,—,2425,,https://www.redfin.com/CA/Oakland/641-Oakland-Ave-94611/unit-E/home/200917280,2,2,2,2,2,2,2,66.7,3,2,2,2,75.0,Yes,Yes,,No,,Yes,No,Yes,No,Yes,Yes,,66.7,,,,,,,,,,,
4,1777 Sausal St,Oakland,CA,94602,,,2,1,900,2400,,https://www.redfin.com/CA/Oakland/1777-Sausal-St-94602/apartment/1841627,2,2,2,2,2,2,2,66.7,2,2,2,2,66.7,Yes,Yes,,No,,Yes,No,,No,No,Yes,,50.0,,,,,,,,,,,
4,3230 Maple Ave Unit 3230,Oakland,CA,94602,,,2,1,—,2400,,https://www.redfin.com/CA/Oakland/3230-Maple-Ave-94602/unit-3230/apartment/200930307,2,1,1,2,1,2,3,57.1,2,2,2,2,66.7,No,Yes,No,,,Yes,No,,Yes,Yes,No,,50.0,,,,,,,,,,,
4,5308 Market St Unit 5310,Oakland,CA,94608,,,2,1,—,2400,,https://www.redfin.com/CA/Oakland/5308-Market-St-94608/unit-5310/home/200955995,3,2,3,3,2,3,3,90.5,2,2,2,2,66.7,Yes,Yes,No,No,,No,Yes,,Yes,Yes,Yes,Yes,70.0,,,,,,,,,,,
4,232 Foothill Blvd Unit 2,Oakland,CA,94606,,,2,1,700,2400,,https://www.redfin.com/CA/Oakland/232-Foothill-Blvd-94606/unit-2/apartment/201065484,2,2,3,3,2,2,3,81.0,3,3,2,2,83.3,No,Yes,,No,Yes,Yes,Yes,Yes,No,Yes,Yes,,70.0,,,,,,,,,,,
4,548 105th Ave Unit 13,Oakland,CA,94603,,,2,1,800,2399,,https://www.redfin.com/CA/Oakland/548-105th-Ave-94603/unit-13/apartment/183301300,1,1,1,2,1,2,2,47.6,1,2,2,2,58.3,No,Yes,No,No,,No,No,,No,No,No,Yes,20.0,,,,,,,,,,,
4,255 MacArthur Blvd,Oakland,CA,94610,,,2,1,750,2395,,https://www.redfin.com/CA/Oakland/548-105th-Ave-94603/unit-13/apartment/183301300,2,2,2,2,2,2,3,71.4,2,2,2,2,66.7,Yes,Yes,No,No,Yes,Yes,Yes,,No,Yes,Yes,No,63.6,,,,,,,,,,,
4,1070 54th St,Emeryville,CA,94608,,,2,1,—,2395,,https://www.redfin.com/CA/Emeryville/1070-54th-St-94608/home/1570668,2,2,2,3,2,1,3,71.4,3,2,2,,77.8,No,Yes,No,Yes,Yes,No,Yes,,Yes,Yes,Yes,,70.0,,,,,,,,,,,
4,407 Fairmount Ave,Oakland,CA,94611,,,2,1,821,2295,,https://www.redfin.com/CA/Oakland/407-Fairmount-Ave-94611/apartment/1627385,2,2,1,2,2,1,2,57.1,3,2,2,2,75.0,No,Yes,No,No,Yes,No,No,,No,No,No,,20.0,,,,,,,,,,,
4,3811 39th Ave,Oakland,CA,94619,,,2,1,800,2395,,https://www.redfin.com/CA/Oakland/3811-39th-Ave-94619/apartment/1803746,2,,2,2,2,2,2,66.7,3,,,2,83.3,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,,36.4,,,,,,,,,,,